"","Species","a","b"
"5451","Ptenopus kochi",-4.242,2.761
"5452","Ptychoglossus bicolor",-5.178,3.302
"5453","Ptychoglossus bilineatus",-5.178,3.302
"5454","Ptychoglossus brevifrontalis",-5.178,3.302
"5455","Ptychoglossus danieli",-5.178,3.302
"5456","Ptychoglossus eurylepis",-5.178,3.302
"5457","Ptychoglossus festae",-5.178,3.302
"5458","Ptychoglossus gorgonae",-5.178,3.302
"5459","Ptychoglossus grandisquamatus",-5.178,3.302
"5460","Ptychoglossus kugleri",-5.178,3.302
"5461","Ptychoglossus myersi",-5.178,3.302
"5462","Ptychoglossus plicatus",-5.178,3.302
"5463","Ptychoglossus romaleos",-5.178,3.302
"5464","Ptychoglossus stenolepis",-5.178,3.302
"5465","Ptychoglossus vallensis",-5.178,3.302
"5466","Ptychozoon bannaense",-4.242,2.761
"5467","Ptychozoon horsfieldii",-4.242,2.761
"5468","Ptychozoon intermedium",-4.242,2.761
"5469","Ptychozoon kaengkrachanense",-4.242,2.761
"5470","Ptychozoon kuhli",-4.242,2.761
"5471","Ptychozoon lionotum",-4.242,2.761
"5472","Ptychozoon nicobarensis",-4.242,2.761
"5473","Ptychozoon rhacophorus",-4.242,2.761
"5474","Ptychozoon trinotaterra",-4.242,2.761
"5475","Ptyctolaemus collicristatus",-4.686,3.105
"5476","Ptyctolaemus gularis",-4.686,3.105
"5477","Ptyodactylus ananjevae",-4.482,2.945
"5478","Ptyodactylus dhofarensis",-4.482,2.945
"5479","Ptyodactylus guttatus",-4.482,2.945
"5480","Ptyodactylus hasselquistii",-4.482,2.945
"5481","Ptyodactylus homolepis",-4.482,2.945
"5482","Ptyodactylus orlovi",-4.482,2.945
"5483","Ptyodactylus oudrii",-4.482,2.945
"5484","Ptyodactylus puiseuxi",-4.482,2.945
"5485","Ptyodactylus ragazzii",-4.482,2.945
"5486","Ptyodactylus rivapadiali",-4.482,2.945
"5487","Ptyodactylus ruusaljibalicus",-4.482,2.945
"5488","Ptyodactylus togensis",-4.482,2.945
"5489","Pygmaeascincus koshlandae",-5.125,3.229
"5490","Pygmaeascincus sadlieri",-5.125,3.229
"5491","Pygmaeascincus timlowi",-5.125,3.229
"5492","Pygomeles braconnieri",-4.207,2.471
"5493","Pygomeles petteri",-4.207,2.3
"5494","Pygomeles trivittatus",-4.207,2.471
"5495","Pygopus lepidopodus",-2.039,1.371
"5496","Pygopus nigriceps",-2.039,1.371
"5497","Pygopus robertsi",-2.039,1.371
"5498","Pygopus schraderi",-2.039,1.371
"5499","Pygopus steelescotti",-2.039,1.371
"5500","Quedenfeldtia moerens",-4.558,2.97
"5501","Quedenfeldtia trachyblepharus",-4.558,2.97
"5502","Ramigekko swartbergensis",-4.242,2.761
"5503","Rankinia diemensis",-4.686,3.105
"5504","Rhachisaurus brachylepis",-5.178,3.302
"5505","Rhacodactylus auriculatus",-4.804,3.057
"5506","Rhacodactylus leachianus",-4.804,3.057
"5507","Rhacodactylus trachycephalus",-4.804,3.057
"5508","Rhacodactylus trachyrhynchus",-4.804,3.057
"5509","Rhampholeon acuminatus",-3.997,2.68
"5510","Rhampholeon beraduccii",-3.997,2.68
"5511","Rhampholeon boulengeri",-3.997,2.68
"5512","Rhampholeon bruessoworum",-3.997,2.68
"5513","Rhampholeon chapmanorum",-3.997,2.68
"5514","Rhampholeon gorongosae",-3.997,2.68
"5515","Rhampholeon hattinghi",-3.997,2.68
"5516","Rhampholeon marshalli",-3.997,2.68
"5517","Rhampholeon maspictus",-3.997,2.68
"5518","Rhampholeon moyeri",-3.997,2.68
"5519","Rhampholeon nchisiensis",-3.997,2.68
"5520","Rhampholeon nebulauctor",-3.997,2.68
"5521","Rhampholeon platyceps",-3.997,2.68
"5522","Rhampholeon spectrum",-3.997,2.68
"5523","Rhampholeon spinosus",-3.997,2.68
"5524","Rhampholeon temporalis",-3.997,2.68
"5525","Rhampholeon tilburyi",-3.997,2.68
"5526","Rhampholeon uluguruensis",-3.997,2.68
"5527","Rhampholeon viridis",-3.997,2.68
"5528","Rhineura floridana",-5.858,2.943
"5529","Rhinogekko femoralis",-4.242,2.761
"5530","Rhinogekko misonnei",-4.242,2.761
"5531","Rhoptropella ocellata",-4.242,2.761
"5532","Rhoptropus afer",-4.242,2.761
"5533","Rhoptropus barnardi",-4.242,2.761
"5534","Rhoptropus biporosus",-4.242,2.761
"5535","Rhoptropus boultoni",-4.242,2.761
"5536","Rhoptropus bradfieldi",-4.242,2.761
"5537","Rhoptropus diporus",-4.242,2.761
"5538","Rhoptropus taeniostictus",-4.242,2.761
"5539","Rhynchoedura angusta",-4.804,3.057
"5540","Rhynchoedura eyrensis",-4.804,3.057
"5541","Rhynchoedura mentalis",-4.804,3.057
"5542","Rhynchoedura ormsbyi",-4.804,3.057
"5543","Rhynchoedura ornata",-4.804,3.057
"5544","Rhynchoedura sexapora",-4.804,3.057
"5545","Riama anatoloros",-5.178,3.302
"5546","Riama balneator",-5.178,3.302
"5547","Riama cashcaensis",-5.178,3.302
"5548","Riama colomaromani",-5.178,3.302
"5549","Riama columbiana",-5.178,3.302
"5550","Riama inanis",-5.178,3.302
"5551","Riama labionis",-5.178,3.302
"5552","Riama meleagris",-5.178,3.302
"5553","Riama orcesi",-5.178,3.302
"5554","Riama raneyi",-5.178,3.302
"5555","Riama simotera",-5.178,3.302
"5556","Riama stigmatoral",-5.178,3.302
"5557","Riama striata",-5.178,3.302
"5558","Riama unicolor",-5.178,3.302
"5559","Riama yumborum",-5.178,3.302
"5560","Rieppeleon brachyurus",-3.997,2.68
"5561","Rieppeleon brevicaudatus",-3.997,2.68
"5562","Rieppeleon kerstenii",-3.997,2.68
"5563","Riolama inopinata",-5.178,3.302
"5564","Riolama leucosticta",-4.207,2.471
"5565","Riolama luridiventris",-4.207,2.471
"5566","Riolama uzzelli",-4.207,2.471
"5567","Ristella beddomii",-5.125,3.229
"5568","Ristella guentheri",-5.125,3.229
"5569","Ristella rurkii",-5.125,3.229
"5570","Ristella travancorica",-5.125,3.229
"5571","Rondonops biscutatus",-5.178,3.302
"5572","Rondonops xanthomystax",-5.178,3.302
"5573","Saara asmussi",-4.686,3.105
"5574","Saara hardwickii",-4.686,3.105
"5575","Saara loricata",-4.686,3.105
"5576","Saiphos equalis",-4.207,2.471
"5577","Salea anamallayana",-4.686,3.105
"5578","Salea gularis",-4.686,3.105
"5579","Salea horsfieldii",-4.686,3.105
"5580","Saltuarius cornutus",-3.445,2.353
"5581","Saltuarius eximius",-3.445,2.353
"5582","Saltuarius kateae",-3.445,2.353
"5583","Saltuarius moritzi",-3.445,2.353
"5584","Saltuarius salebrosus",-3.445,2.353
"5585","Saltuarius swaini",-3.445,2.353
"5586","Saltuarius wyberba",-3.445,2.353
"5587","Salvator duseni",-4.747,3.11
"5588","Salvator merianae",-4.747,3.11
"5589","Salvator rufescens",-4.747,3.11
"5590","Saproscincus basiliscus",-5.125,3.229
"5591","Saproscincus challengeri",-5.125,3.229
"5592","Saproscincus czechurai",-5.125,3.229
"5593","Saproscincus eungellensis",-5.125,3.229
"5594","Saproscincus hannahae",-5.125,3.229
"5595","Saproscincus lewisi",-5.125,3.229
"5596","Saproscincus mustelinus",-5.125,3.229
"5597","Saproscincus oriarus",-5.125,3.229
"5598","Saproscincus rosei",-5.125,3.229
"5599","Saproscincus saltus",-5.125,3.229
"5600","Saproscincus spectabilis",-5.125,3.229
"5601","Saproscincus tetradactylus",-4.207,2.471
"5602","Sarada darwini",-4.686,3.105
"5603","Sarada deccanensis",-4.686,3.105
"5604","Sarada superba",-4.686,3.105
"5605","Saurodactylus brosseti",-4.558,2.97
"5606","Saurodactylus fasciatus",-4.558,2.97
"5607","Saurodactylus mauritanicus",-4.558,2.97
"5608","Sauromalus ater",-4.298,2.972
"5609","Sauromalus hispidus",-4.298,2.972
"5610","Sauromalus klauberi",-4.298,2.972
"5611","Sauromalus slevini",-4.298,2.972
"5612","Sauromalus varius",-4.298,2.972
"5613","Scelarcis perspicillata",-4.543,2.951
"5614","Sceloporus acanthinus",-3.855,2.677
"5615","Sceloporus adleri",-3.855,2.677
"5616","Sceloporus aeneus",-3.855,2.677
"5617","Sceloporus albiventris",-3.855,2.677
"5618","Sceloporus anahuacus",-3.855,2.677
"5619","Sceloporus angustus",-3.855,2.677
"5620","Sceloporus arenicolus",-3.855,2.677
"5621","Sceloporus asper",-3.855,2.677
"5622","Sceloporus aurantius",-3.855,2.677
"5623","Sceloporus aureolus",-3.855,2.677
"5624","Sceloporus becki",-3.855,2.677
"5625","Sceloporus bicanthalis",-3.855,2.677
"5626","Sceloporus bimaculosus",-3.855,2.677
"5627","Sceloporus brownorum",-3.855,2.677
"5628","Sceloporus bulleri",-3.855,2.677
"5629","Sceloporus caeruleus",-3.855,2.677
"5630","Sceloporus carinatus",-3.855,2.677
"5631","Sceloporus cautus",-3.855,2.677
"5632","Sceloporus chaneyi",-3.855,2.677
"5633","Sceloporus chrysostictus",-3.855,2.677
"5634","Sceloporus clarkii",-3.855,2.677
"5635","Sceloporus consobrinus",-3.855,2.677
"5636","Sceloporus couchii",-3.855,2.677
"5637","Sceloporus cowlesi",-3.855,2.677
"5638","Sceloporus cozumelae",-3.855,2.677
"5639","Sceloporus cryptus",-3.855,2.677
"5640","Sceloporus cupreus",-3.855,2.677
"5641","Sceloporus cyanogenys",-3.855,2.677
"5642","Sceloporus cyanostictus",-3.855,2.677
"5643","Sceloporus druckercolini",-3.855,2.677
"5644","Sceloporus dugesii",-3.855,2.677
"5645","Sceloporus edbelli",-3.855,2.677
"5646","Sceloporus edwardtaylori",-3.855,2.677
"5647","Sceloporus exsul",-3.855,2.677
"5648","Sceloporus formosus",-3.855,2.677
"5649","Sceloporus gadoviae",-3.855,2.677
"5650","Sceloporus gadsdeni",-3.855,2.677
"5651","Sceloporus goldmani",-3.855,2.677
"5652","Sceloporus graciosus",-3.855,2.677
"5653","Sceloporus grammicus",-3.855,2.677
"5654","Sceloporus grandaevus",-3.855,2.677
"5655","Sceloporus halli",-3.855,2.677
"5656","Sceloporus heterolepis",-3.855,2.677
"5657","Sceloporus horridus",-3.855,2.677
"5658","Sceloporus hunsakeri",-3.855,2.677
"5659","Sceloporus insignis",-3.855,2.677
"5660","Sceloporus internasalis",-3.855,2.677
"5661","Sceloporus jalapae",-3.855,2.677
"5662","Sceloporus jarrovii",-3.855,2.677
"5663","Sceloporus lemosespinali",-3.855,2.677
"5664","Sceloporus licki",-3.855,2.677
"5665","Sceloporus lineatulus",-3.855,2.677
"5666","Sceloporus lunae",-3.855,2.677
"5667","Sceloporus lundelli",-3.855,2.677
"5668","Sceloporus macdougalli",-3.855,2.677
"5669","Sceloporus maculosus",-3.855,2.677
"5670","Sceloporus magister",-3.855,2.677
"5671","Sceloporus malachiticus",-3.855,2.677
"5672","Sceloporus megalepidurus",-3.855,2.677
"5673","Sceloporus melanorhinus",-3.855,2.677
"5674","Sceloporus merriami",-3.855,2.677
"5675","Sceloporus minor",-3.855,2.677
"5676","Sceloporus mucronatus",-3.855,2.677
"5677","Sceloporus nelsoni",-3.855,2.677
"5678","Sceloporus oberon",-3.855,2.677
"5679","Sceloporus occidentalis",-3.855,2.677
"5680","Sceloporus ochoterenae",-3.855,2.677
"5681","Sceloporus olivaceus",-3.855,2.677
"5682","Sceloporus omiltemanus",-3.855,2.677
"5683","Sceloporus orcutti",-3.855,2.677
"5684","Sceloporus ornatus",-3.855,2.677
"5685","Sceloporus palaciosi",-3.855,2.677
"5686","Sceloporus parvus",-3.855,2.677
"5687","Sceloporus poinsettii",-3.855,2.677
"5688","Sceloporus pyrocephalus",-3.855,2.677
"5689","Sceloporus salvini",-3.855,2.677
"5690","Sceloporus samcolemani",-3.855,2.677
"5691","Sceloporus scalaris",-3.855,2.677
"5692","Sceloporus serrifer",-3.855,2.677
"5693","Sceloporus shannonorum",-3.855,2.677
"5694","Sceloporus siniferus",-3.855,2.677
"5695","Sceloporus slevini",-3.855,2.677
"5696","Sceloporus smaragdinus",-3.855,2.677
"5697","Sceloporus smithi",-3.855,2.677
"5698","Sceloporus spinosus",-3.855,2.677
"5699","Sceloporus squamosus",-3.855,2.677
"5700","Sceloporus stejnegeri",-3.855,2.677
"5701","Sceloporus subpictus",-3.855,2.677
"5702","Sceloporus sugillatus",-3.855,2.677
"5703","Sceloporus taeniocnemis",-3.855,2.677
"5704","Sceloporus tanneri",-3.855,2.677
"5705","Sceloporus teapensis",-3.855,2.677
"5706","Sceloporus torquatus",-3.855,2.677
"5707","Sceloporus tristichus",-3.855,2.677
"5708","Sceloporus undulatus",-3.855,2.677
"5709","Sceloporus unicanthalis",-3.855,2.677
"5710","Sceloporus uniformis",-3.855,2.677
"5711","Sceloporus utiformis",-3.855,2.677
"5712","Sceloporus variabilis",-3.855,2.677
"5713","Sceloporus virgatus",-3.855,2.677
"5714","Sceloporus woodi",-3.855,2.677
"5715","Sceloporus zosteromus",-3.855,2.677
"5716","Scelotes anguineus",-4.207,2.3
"5717","Scelotes arenicolus",-4.207,2.3
"5718","Scelotes bidigittatus",-4.207,2.471
"5719","Scelotes bipes",-4.207,2.471
"5720","Scelotes bourquini",-4.207,2.471
"5721","Scelotes caffer",-4.207,2.471
"5722","Scelotes capensis",-5.125,3.229
"5723","Scelotes duttoni",-4.207,2.471
"5724","Scelotes fitzsimonsi",-4.207,2.471
"5725","Scelotes gronovii",-4.207,2.471
"5726","Scelotes guentheri",-4.207,2.471
"5727","Scelotes inornatus",-4.207,2.471
"5728","Scelotes insularis",-4.207,2.471
"5729","Scelotes kasneri",-4.207,2.471
"5730","Scelotes limpopoensis",-4.207,2.471
"5731","Scelotes mirus",-5.125,3.229
"5732","Scelotes montispectus",-4.207,2.471
"5733","Scelotes mossambicus",-4.207,2.471
"5734","Scelotes poensis",-4.207,2.3
"5735","Scelotes sexlineatus",-4.207,2.471
"5736","Scelotes uluguruensis",-4.207,2.471
"5737","Scelotes vestigifer",-4.207,2.471
"5738","Scincella apraefrontalis",-5.125,3.229
"5739","Scincella assatus",-5.125,3.229
"5740","Scincella barbouri",-5.125,3.229
"5741","Scincella boettgeri",-5.125,3.229
"5742","Scincella capitanea",-5.125,3.229
"5743","Scincella caudaequinae",-5.125,3.229
"5744","Scincella cherriei",-5.125,3.229
"5745","Scincella darevskii",-5.125,3.229
"5746","Scincella devorator",-5.125,3.229
"5747","Scincella doriae",-5.125,3.229
"5748","Scincella forbesora",-5.125,3.229
"5749","Scincella formosensis",-5.125,3.229
"5750","Scincella gemmingeri",-5.125,3.229
"5751","Scincella huanrenensis",-5.125,3.229
"5752","Scincella incerta",-5.125,3.229
"5753","Scincella kikaapoa",-5.125,3.229
"5754","Scincella lateralis",-5.125,3.229
"5755","Scincella macrotis",-5.125,3.229
"5756","Scincella melanosticta",-5.125,3.229
"5757","Scincella modesta",-5.125,3.229
"5758","Scincella monticola",-5.125,3.229
"5759","Scincella ochracea",-5.125,3.229
"5760","Scincella potanini",-5.125,3.229
"5761","Scincella przewalskii",-5.125,3.229
"5762","Scincella punctatolineata",-5.125,3.229
"5763","Scincella reevesii",-5.125,3.229
"5764","Scincella rufocaudatus",-5.125,3.229
"5765","Scincella rupicola",-5.125,3.229
"5766","Scincella schmidti",-5.125,3.229
"5767","Scincella silvicola",-5.125,3.229
"5768","Scincella tsinlingensis",-5.125,3.229
"5769","Scincella vandenburghi",-5.125,3.229
"5770","Scincella victoriana",-5.125,3.229
"5771","Scincopus fasciatus",-5.125,3.229
"5772","Scincus albifasciatus",-5.125,3.229
"5773","Scincus hemprichii",-5.125,3.229
"5774","Scincus mitranus",-5.125,3.229
"5775","Scincus scincus",-5.125,3.229
"5776","Scolecoseps acontias",-4.207,2.3
"5777","Scolecoseps boulengeri",-4.207,2.3
"5778","Scolecoseps broadleyi",-4.207,2.3
"5779","Scolecoseps litipoensis",-4.207,2.3
"5780","Scriptosaura catimbau",-4.207,2.3
"5781","Sepsina alberti",-4.207,2.471
"5782","Sepsina angolensis",-4.207,2.471
"5783","Sepsina bayoni",-4.207,2.471
"5784","Sepsina copei",-4.207,2.471
"5785","Sepsina tetradactyla",-4.207,2.471
"5786","Sepsophis punctatus",-4.207,2.471
"5787","Shinisaurus crocodilurus",-5.058,3.145
"5788","Sigaloseps balios",-5.125,3.229
"5789","Sigaloseps conditus",-5.125,3.229
"5790","Sigaloseps deplanchei",-5.125,3.229
"5791","Sigaloseps ferrugicauda",-5.125,3.229
"5792","Sigaloseps pisinnus",-5.125,3.229
"5793","Sigaloseps ruficauda",-5.125,3.229
"5794","Silvascincus murrayi",-5.125,3.229
"5795","Silvascincus tryoni",-5.125,3.229
"5796","Simiscincus aurantiacus",-5.125,3.229
"5797","Sitana attenboroughii",-4.686,3.105
"5798","Sitana bahiri",-4.686,3.105
"5799","Sitana devakai",-4.686,3.105
"5800","Sitana fusca",-4.686,3.105
"5801","Sitana laticeps",-4.686,3.105
"5802","Sitana marudhamneydhal",-4.686,3.105
"5803","Sitana ponticeriana",-4.686,3.105
"5804","Sitana schleichi",-4.686,3.105
"5805","Sitana sivalensis",-4.686,3.105
"5806","Sitana spinaecephalus",-4.686,3.105
"5807","Sitana visiri",-4.686,3.105
"5808","Smaug barbertonensis",-5.747,3.589
"5809","Smaug breyeri",-5.747,3.589
"5810","Smaug depressus",-5.747,3.589
"5811","Smaug giganteus",-5.747,3.589
"5812","Smaug mossambicus",-5.747,3.589
"5813","Smaug regius",-5.747,3.589
"5814","Smaug vandami",-5.747,3.589
"5815","Smaug warreni",-5.747,3.589
"5816","Sphaerodactylus alphus",-4.558,2.97
"5817","Sphaerodactylus altavelensis",-4.558,2.97
"5818","Sphaerodactylus argivus",-4.558,2.97
"5819","Sphaerodactylus argus",-4.558,2.97
"5820","Sphaerodactylus ariasae",-4.558,2.97
"5821","Sphaerodactylus armasi",-4.558,2.97
"5822","Sphaerodactylus armstrongi",-4.558,2.97
"5823","Sphaerodactylus asterulus",-4.558,2.97
"5824","Sphaerodactylus beattyi",-4.558,2.97
"5825","Sphaerodactylus becki",-4.558,2.97
"5826","Sphaerodactylus bromeliarum",-4.558,2.97
"5827","Sphaerodactylus caicosensis",-4.558,2.97
"5828","Sphaerodactylus callocricus",-4.558,2.97
"5829","Sphaerodactylus celicara",-4.558,2.97
"5830","Sphaerodactylus cinereus",-4.558,2.97
"5831","Sphaerodactylus clenchi",-4.558,2.97
"5832","Sphaerodactylus cochranae",-4.558,2.97
"5833","Sphaerodactylus continentalis",-4.558,2.97
"5834","Sphaerodactylus copei",-4.558,2.97
"5835","Sphaerodactylus corticola",-4.558,2.97
"5836","Sphaerodactylus cricoderus",-4.558,2.97
"5837","Sphaerodactylus cryphius",-4.558,2.97
"5838","Sphaerodactylus dacnicolor",-4.558,2.97
"5839","Sphaerodactylus darlingtoni",-4.558,2.97
"5840","Sphaerodactylus difficilis",-4.558,2.97
"5841","Sphaerodactylus dimorphicus",-4.558,2.97
"5842","Sphaerodactylus docimus",-4.558,2.97
"5843","Sphaerodactylus dunni",-4.558,2.97
"5844","Sphaerodactylus elasmorhynchus",-4.558,2.97
"5845","Sphaerodactylus elegans",-4.558,2.97
"5846","Sphaerodactylus elegantulus",-4.558,2.97
"5847","Sphaerodactylus epiurus",-4.558,2.97
"5848","Sphaerodactylus exsul",-4.558,2.97
"5849","Sphaerodactylus fantasticus",-4.558,2.97
"5850","Sphaerodactylus gaigeae",-4.558,2.97
"5851","Sphaerodactylus gilvitorques",-4.558,2.97
"5852","Sphaerodactylus glaucus",-4.558,2.97
"5853","Sphaerodactylus goniorhynchus",-4.558,2.97
"5854","Sphaerodactylus graptolaemus",-4.558,2.97
"5855","Sphaerodactylus guanajae",-4.558,2.97
"5856","Sphaerodactylus heliconiae",-4.558,2.97
"5857","Sphaerodactylus homolepis",-4.558,2.97
"5858","Sphaerodactylus inaguae",-4.558,2.97
"5859","Sphaerodactylus intermedius",-4.558,2.97
"5860","Sphaerodactylus kirbyi",-4.558,2.97
"5861","Sphaerodactylus klauberi",-4.558,2.97
"5862","Sphaerodactylus ladae",-4.558,2.97
"5863","Sphaerodactylus lazelli",-4.558,2.97
"5864","Sphaerodactylus leonardovaldesi",-4.558,2.97
"5865","Sphaerodactylus leucaster",-4.558,2.97
"5866","Sphaerodactylus levinsi",-4.558,2.97
"5867","Sphaerodactylus lineolatus",-4.558,2.97
"5868","Sphaerodactylus macrolepis",-4.558,2.97
"5869","Sphaerodactylus mariguanae",-4.558,2.97
"5870","Sphaerodactylus microlepis",-4.558,2.97
"5871","Sphaerodactylus micropithecus",-4.558,2.97
"5872","Sphaerodactylus millepunctatus",-4.558,2.97
"5873","Sphaerodactylus molei",-4.558,2.97
"5874","Sphaerodactylus monensis",-4.558,2.97
"5875","Sphaerodactylus nicholsi",-4.558,2.97
"5876","Sphaerodactylus nigropunctatus",-4.558,2.97
"5877","Sphaerodactylus notatus",-4.558,2.97
"5878","Sphaerodactylus nycteropus",-4.558,2.97
"5879","Sphaerodactylus ocoae",-4.558,2.97
"5880","Sphaerodactylus oliveri",-4.558,2.97
"5881","Sphaerodactylus omoglaux",-4.558,2.97
"5882","Sphaerodactylus oxyrhinus",-4.558,2.97
"5883","Sphaerodactylus pacificus",-4.558,2.97
"5884","Sphaerodactylus parkeri",-4.558,2.97
"5885","Sphaerodactylus parthenopion",-4.558,2.97
"5886","Sphaerodactylus parvus",-4.558,2.97
"5887","Sphaerodactylus perissodactylius",-4.558,2.97
"5888","Sphaerodactylus phyzacinus",-4.558,2.97
"5889","Sphaerodactylus pimienta",-4.558,2.97
"5890","Sphaerodactylus plummeri",-4.558,2.97
"5891","Sphaerodactylus poindexteri",-4.558,2.97
"5892","Sphaerodactylus ramsdeni",-4.558,2.97
"5893","Sphaerodactylus randi",-4.558,2.97
"5894","Sphaerodactylus rhabdotus",-4.558,2.97
"5895","Sphaerodactylus richardi",-4.558,2.97
"5896","Sphaerodactylus richardsonii",-4.558,2.97
"5897","Sphaerodactylus roosevelti",-4.558,2.97
"5898","Sphaerodactylus rosaurae",-4.558,2.97
"5899","Sphaerodactylus ruibali",-4.558,2.97
"5900","Sphaerodactylus sabanus",-4.558,2.97
"5901","Sphaerodactylus samanensis",-4.558,2.97
"5902","Sphaerodactylus savagei",-4.558,2.97
"5903","Sphaerodactylus scaber",-4.558,2.97
"5904","Sphaerodactylus scapularis",-4.558,2.97
"5905","Sphaerodactylus schuberti",-4.558,2.97
"5906","Sphaerodactylus schwartzi",-4.558,2.97
"5907","Sphaerodactylus semasiops",-4.558,2.97
"5908","Sphaerodactylus shrevei",-4.558,2.97
"5909","Sphaerodactylus siboney",-4.558,2.97
"5910","Sphaerodactylus sommeri",-4.558,2.97
"5911","Sphaerodactylus sputator",-4.558,2.97
"5912","Sphaerodactylus storeyae",-4.558,2.97
"5913","Sphaerodactylus streptophorus",-4.558,2.97
"5914","Sphaerodactylus thompsoni",-4.558,2.97
"5915","Sphaerodactylus torrei",-4.558,2.97
"5916","Sphaerodactylus townsendi",-4.558,2.97
"5917","Sphaerodactylus underwoodi",-4.558,2.97
"5918","Sphaerodactylus vincenti",-4.558,2.97
"5919","Sphaerodactylus williamsi",-4.558,2.97
"5920","Sphaerodactylus zygaena",-4.558,2.97
"5921","Sphenomorphus acutus",-5.125,3.229
"5922","Sphenomorphus aignanus",-5.125,3.229
"5923","Sphenomorphus alfredi",-5.125,3.229
"5924","Sphenomorphus annectens",-5.125,3.229
"5925","Sphenomorphus anomalopus",-5.125,3.229
"5926","Sphenomorphus anotus",-5.125,3.229
"5927","Sphenomorphus apalpebratus",-5.125,3.229
"5928","Sphenomorphus bacboensis",-5.125,3.229
"5929","Sphenomorphus bignelli",-5.125,3.229
"5930","Sphenomorphus brunneus",-5.125,3.229
"5931","Sphenomorphus buenloicus",-5.125,3.229
"5932","Sphenomorphus buettikoferi",-5.125,3.229
"5933","Sphenomorphus cameronicus",-5.125,3.229
"5934","Sphenomorphus capitolythos",-5.125,3.229
"5935","Sphenomorphus celebense",-5.125,3.229
"5936","Sphenomorphus cinereus",-5.125,3.229
"5937","Sphenomorphus concinnatus",-5.125,3.229
"5938","Sphenomorphus consobrinus",-5.125,3.229
"5939","Sphenomorphus cophias",-5.125,3.229
"5940","Sphenomorphus courcyanum",-5.125,3.229
"5941","Sphenomorphus cranei",-5.125,3.229
"5942","Sphenomorphus crassus",-5.125,3.229
"5943","Sphenomorphus cryptotis",-5.125,3.229
"5944","Sphenomorphus cyanolaemus",-5.125,3.229
"5945","Sphenomorphus darlingtoni",-5.125,3.229
"5946","Sphenomorphus dekkerae",-5.125,3.229
"5947","Sphenomorphus derooyae",-5.125,3.229
"5948","Sphenomorphus diwata",-5.125,3.229
"5949","Sphenomorphus dussumieri",-5.125,3.229
"5950","Sphenomorphus fasciatus",-5.125,3.229
"5951","Sphenomorphus forbesi",-5.125,3.229
"5952","Sphenomorphus fragilis",-5.125,3.229
"5953","Sphenomorphus fragosus",-5.125,3.229
"5954","Sphenomorphus fuscolineatus",-5.125,3.229
"5955","Sphenomorphus grandisonae",-5.125,3.229
"5956","Sphenomorphus granulatus",-5.125,3.229
"5957","Sphenomorphus haasi",-5.125,3.229
"5958","Sphenomorphus helenae",-5.125,3.229
"5959","Sphenomorphus incognitus",-5.125,3.229
"5960","Sphenomorphus indicus",-5.125,3.229
"5961","Sphenomorphus jobiensis",-5.125,3.229
"5962","Sphenomorphus kinabaluensis",-5.125,3.229
"5963","Sphenomorphus latifasciatus",-5.125,3.229
"5964","Sphenomorphus leptofasciatus",-5.125,3.229
"5965","Sphenomorphus lineopunctulatus",-5.125,3.229
"5966","Sphenomorphus longicaudatus",-5.125,3.229
"5967","Sphenomorphus loriae",-5.125,3.229
"5968","Sphenomorphus louisiadensis",-5.125,3.229
"5969","Sphenomorphus maculatus",-5.125,3.229
"5970","Sphenomorphus maculicollus",-5.125,3.229
"5971","Sphenomorphus maindroni",-5.125,3.229
"5972","Sphenomorphus malaisei",-5.125,3.229
"5973","Sphenomorphus malayanum",-5.125,3.229
"5974","Sphenomorphus megalops",-5.125,3.229
"5975","Sphenomorphus melanopogon",-5.125,3.229
"5976","Sphenomorphus meyeri",-5.125,3.229
"5977","Sphenomorphus microtympanus",-5.125,3.229
"5978","Sphenomorphus mimicus",-5.125,3.229
"5979","Sphenomorphus mimikanum",-5.125,3.229
"5980","Sphenomorphus minutus",-5.125,3.229
"5981","Sphenomorphus modigliani",-5.125,3.229
"5982","Sphenomorphus muelleri",-5.125,3.229
"5983","Sphenomorphus multisquamatus",-5.125,3.229
"5984","Sphenomorphus murudensis",-5.125,3.229
"5985","Sphenomorphus necopinatus",-5.125,3.229
"5986","Sphenomorphus neuhaussi",-5.125,3.229
"5987","Sphenomorphus nigriventris",-5.125,3.229
"5988","Sphenomorphus nigrolabris",-5.125,3.229
"5989","Sphenomorphus nigrolineatus",-5.125,3.229
"5990","Sphenomorphus oligolepis",-5.125,3.229
"5991","Sphenomorphus orientale",-5.125,3.229
"5992","Sphenomorphus papuae",-5.125,3.229
"5993","Sphenomorphus praesignis",-5.125,3.229
"5994","Sphenomorphus pratti",-5.125,3.229
"5995","Sphenomorphus puncticentralis",-5.125,3.229
"5996","Sphenomorphus rarus",-5.125,3.229
"5997","Sphenomorphus rufus",-5.125,3.229
"5998","Sphenomorphus sabanus",-5.125,3.229
"5999","Sphenomorphus sananus",-5.125,3.229
"6000","Sphenomorphus sanctus",-5.125,3.229
"6001","Sphenomorphus sarasinorum",-5.125,3.229
"6002","Sphenomorphus schlegeli",-5.125,3.229
"6003","Sphenomorphus schultzei",-5.125,3.229
"6004","Sphenomorphus scotophilus",-5.125,3.229
"6005","Sphenomorphus scutatus",-5.125,3.229
"6006","Sphenomorphus senja",-5.125,3.229
